,상호명,지점명,상권업종대분류명,상권업종중분류명,상권업종소분류명,표준산업분류명,시도명,시군구명,행정동명,법정동명,지번주소,도로명,건물명
6784,세종페스타진프로샵,,소매,오락용품 소매,운동용품 소매업,운동 및 경기용품 소매업,세종특별자치시,세종특별자치시,대평동,대평동,세종특별자치시 세종특별자치시 대평동 680,세종특별자치시 세종특별자치시 대평3길,해피라움페스타
6785,디자인스튜디오참,,과학·기술,전문 디자인,인테리어 디자인업,인테리어 디자인업,세종특별자치시,세종특별자치시,조치원읍,조치원읍,세종특별자치시 세종특별자치시 조치원읍 남리 363,세종특별자치시 세종특별자치시 조치원읍 새내2길,
6786,큐노래호프주점,,음식,주점,일반 유흥 주점,일반 유흥 주점업,세종특별자치시,세종특별자치시,부강면,부강면,세종특별자치시 세종특별자치시 부강면 부강리 416-2,세종특별자치시 세종특별자치시 부강면 부촌길,
6787,초원갈비,,음식,한식,돼지고기 구이/찜,한식 육류 요리 전문점,세종특별자치시,세종특별자치시,금남면,금남면,세종특별자치시 세종특별자치시 금남면 용포리 350-10,세종특별자치시 세종특별자치시 금남면 용포2길,
6788,금강마트,,소매,종합 소매,슈퍼마켓,기타 음ㆍ식료품 위주 종합 소매업,세종특별자치시,세종특별자치시,소정면,소정면,세종특별자치시 세종특별자치시 소정면 소정리 35-2,세종특별자치시 세종특별자치시 소정면 소정샘골길,
6789,벨라,,소매,섬유·의복·신발 소매,기타 의류 소매업,셔츠 및 블라우스 소매업,세종특별자치시,세종특별자치시,대평동,대평동,세종특별자치시 세종특별자치시 대평동 699,세종특별자치시 세종특별자치시 한누리대로,판타지타워
6790,찬.형이네컷트방,,수리·개인,이용·미용,미용실,두발 미용업,세종특별자치시,세종특별자치시,다정동,다정동,세종특별자치시 세종특별자치시 다정동 920,세종특별자치시 세종특별자치시 다정북로,가온마을9단지근린생활시설
6791,짱보드카페,,예술·스포츠,유원지·오락,기타 오락장,기타 오락장 운영업,세종특별자치시,세종특별자치시,전의면,전의면,세종특별자치시 세종특별자치시 전의면 읍내리 254-4,세종특별자치시 세종특별자치시 전의면 운주산로,
6792,그린버드잉글리시영어교습소,,교육,일반 교육,입시·교과학원,외국어학원,세종특별자치시,세종특별자치시,새롬동,새롬동,세종특별자치시 세종특별자치시 새롬동 584,세종특별자치시 세종특별자치시 새롬중앙로,행운빌딩
6793,라벨라,,소매,섬유·의복·신발 소매,기타 의류 소매업,셔츠 및 블라우스 소매업,세종특별자치시,세종특별자치시,도담동,도담동,세종특별자치시 세종특별자치시 도담동 653,세종특별자치시 세종특별자치시 보듬4로,도램마을11단지
6794,세종유보라공인중개사사무소,,부동산,부동산 서비스,부동산 중개/대리업,부동산 중개 및 대리업,세종특별자치시,세종특별자치시,도담동,도담동,세종특별자치시 세종특별자치시 도담동 653,세종특별자치시 세종특별자치시 보듬4로,도램마을11단지
6795,컴퓨터수리,,수리·개인,컴퓨터 수리,컴퓨터/노트북/프린터 수리업,컴퓨터 및 주변 기기 수리업,세종특별자치시,세종특별자치시,조치원읍,조치원읍,세종특별자치시 세종특별자치시 조치원읍 원리 1-1,세종특별자치시 세종특별자치시 조치원읍 새내12길,
6796,정진건축사사무소,,과학·기술,기술 서비스,건축 설계 및 관련 서비스업,건축 설계 및 관련 서비스업,세종특별자치시,세종특별자치시,보람동,보람동,세종특별자치시 세종특별자치시 보람동 722,세종특별자치시 세종특별자치시 한누리대로,스마트허브Ⅰ
6797,별타워,,과학·기술,광고,광고 대행업,광고 대행업,세종특별자치시,세종특별자치시,대평동,대평동,세종특별자치시 세종특별자치시 대평동 668,세종특별자치시 세종특별자치시 대평로,해들마을6단지
6798,바로티앤씨,,시설관리·임대,청소·방제,"소독, 구충 및 방제 서비스업","소독, 구충 및 방제 서비스업",세종특별자치시,세종특별자치시,장군면,장군면,세종특별자치시 세종특별자치시 장군면 도계리 52-8,세종특별자치시 세종특별자치시 장군면 장기초교길,
6799,더피아노스튜디오교습소,,교육,기타 교육,음악학원,음악학원,세종특별자치시,세종특별자치시,도담동,도담동,세종특별자치시 세종특별자치시 도담동 653,세종특별자치시 세종특별자치시 보듬4로,도램마을11단지
6800,더세종약국,,소매,의약·화장품 소매,약국,의약품 및 의료용품 소매업,세종특별자치시,세종특별자치시,나성동,나성동,세종특별자치시 세종특별자치시 나성동 741,세종특별자치시 세종특별자치시 한누리대로,새롬씨티
6801,미코헤어고대점,,수리·개인,이용·미용,미용실,두발 미용업,세종특별자치시,세종특별자치시,조치원읍,조치원읍,세종특별자치시 세종특별자치시 조치원읍 서창리 170-1,세종특별자치시 세종특별자치시 조치원읍 내창1길,
6802,공주칼국수쭈꾸미구이,,음식,한식,국수/칼국수,한식 면 요리 전문점,세종특별자치시,세종특별자치시,아름동,아름동,세종특별자치시 세종특별자치시 아름동 1088,세종특별자치시 세종특별자치시 보듬7로,
6803,건양공인중개사사무소,,부동산,부동산 서비스,부동산 중개/대리업,부동산 중개 및 대리업,세종특별자치시,세종특별자치시,장군면,장군면,세종특별자치시 세종특별자치시 장군면 도계리 160-49,세종특별자치시 세종특별자치시 장군면 장척로,
6804,네일모네,,수리·개인,이용·미용,네일숍,기타 미용업,세종특별자치시,세종특별자치시,소담동,소담동,세종특별자치시 세종특별자치시 소담동 594,세종특별자치시 세종특별자치시 남세종로,새샘마을2단지
